seed: 1024
device: cuda:0
data_path: ./data/
dataset: Beauty
num_workers: 4
id_type: tiger
in_dims: [4096, 2048, 1024, 512, 256, 128, 64, 32]
codebook_dim: 32
codebook_sizes: [256, 256, 256, 256]
rqvae_dropout: 0
sinkhorn_open: True
sinkhorn_epsilons: [0.0, 0.0, 0.0, 0.003]
sinkhorn_iter: 50
kmeans_init_iter: 10
kmeans_cluster: 10
mu: 0.25
alpha: 0.02
beta: 0.0001
rqvae_epochs: 20000
rqvae_batch_size: 1024
rqvae_lr: 0.001
rqvae_wd: 0.0001
rqvae_optimizer: adamw
rqvae_eval_step: 2000
rqvae_eval_metric: unique_key_ratio
t54rec_config_dir_path: ./extra_config/tiger
rqvae_select_position: last
t54rec_epochs: 200
t54rec_train_batch_size: 256
t54rec_valid_batch_size: 64
t54rec_test_batch_size: 64
max_len: 20
t54rec_lr: 0.0005
t54rec_wd: 0.01
t54rec_optimizer: adamw
scheduler_type: cosine
warmup_ratio: 0.01
t54rec_eval_step: 1
t54rec_early_stop_step: 20
t54rec_eval_metric: loss
beam_size: 20
metrics: ['Recall', 'NDCG']
topk: [5, 10]
save_root_path: ./save/
num_items: 12101
num_users: 22363
Epoch [1] - Start Training
Passing a tuple of `past_key_values` is deprecated and will be removed in Transformers v4.48.0. You should pass an instance of `EncoderDecoderCache` instead, e.g. `past_key_values=EncoderDecoderCache.from_legacy_cache(past_key_values)`.
Step [10/514] - Avg Loss: 7.2588, Current lr: 0.0000048638
Step [20/514] - Avg Loss: 7.1365, Current lr: 0.0000097276
Step [30/514] - Avg Loss: 6.9826, Current lr: 0.0000145914
Step [40/514] - Avg Loss: 6.8331, Current lr: 0.0000194553
Step [50/514] - Avg Loss: 6.7209, Current lr: 0.0000243191
Step [60/514] - Avg Loss: 6.6292, Current lr: 0.0000291829
Step [70/514] - Avg Loss: 6.5506, Current lr: 0.0000340467
Step [80/514] - Avg Loss: 6.4756, Current lr: 0.0000389105
Step [90/514] - Avg Loss: 6.4065, Current lr: 0.0000437743
Step [100/514] - Avg Loss: 6.3418, Current lr: 0.0000486381
Step [110/514] - Avg Loss: 6.2833, Current lr: 0.0000535019
Step [120/514] - Avg Loss: 6.2303, Current lr: 0.0000583658
Step [130/514] - Avg Loss: 6.1816, Current lr: 0.0000632296
Step [140/514] - Avg Loss: 6.1374, Current lr: 0.0000680934
Step [150/514] - Avg Loss: 6.0978, Current lr: 0.0000729572
Step [160/514] - Avg Loss: 6.0606, Current lr: 0.0000778210
Step [170/514] - Avg Loss: 6.0259, Current lr: 0.0000826848
Step [180/514] - Avg Loss: 5.9928, Current lr: 0.0000875486
Step [190/514] - Avg Loss: 5.9608, Current lr: 0.0000924125
Step [200/514] - Avg Loss: 5.9318, Current lr: 0.0000972763
Step [210/514] - Avg Loss: 5.9037, Current lr: 0.0001021401
Step [220/514] - Avg Loss: 5.8776, Current lr: 0.0001070039
Step [230/514] - Avg Loss: 5.8520, Current lr: 0.0001118677
Step [240/514] - Avg Loss: 5.8280, Current lr: 0.0001167315
Step [250/514] - Avg Loss: 5.8036, Current lr: 0.0001215953
Step [260/514] - Avg Loss: 5.7816, Current lr: 0.0001264591
Step [270/514] - Avg Loss: 5.7597, Current lr: 0.0001313230
Step [280/514] - Avg Loss: 5.7391, Current lr: 0.0001361868
Step [290/514] - Avg Loss: 5.7191, Current lr: 0.0001410506
Step [300/514] - Avg Loss: 5.7006, Current lr: 0.0001459144
Step [310/514] - Avg Loss: 5.6825, Current lr: 0.0001507782
Step [320/514] - Avg Loss: 5.6646, Current lr: 0.0001556420
Step [330/514] - Avg Loss: 5.6476, Current lr: 0.0001605058
Step [340/514] - Avg Loss: 5.6309, Current lr: 0.0001653696
Step [350/514] - Avg Loss: 5.6144, Current lr: 0.0001702335
Step [360/514] - Avg Loss: 5.5991, Current lr: 0.0001750973
Step [370/514] - Avg Loss: 5.5843, Current lr: 0.0001799611
Step [380/514] - Avg Loss: 5.5685, Current lr: 0.0001848249
